,target_contrast,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,target_contrast_corrected,obs_names,target_name_corrected
2048,ENSG00000213714,FAM209B,Rest,393.0,4,41,45,-1.2950022916755624,True,1.30201742238678,False,>10 DE genes,on-target KD,ENSG00000213714,ENSG00000213714_Rest,FAM209B
2053,ENSG00000012061,ERCC1,Rest,737.0,159,66,225,-12.71414884022789,True,27.013738574430977,False,>10 DE genes,on-target KD,ENSG00000012061,ENSG00000012061_Rest,ERCC1
2063,ENSG00000102580,DNAJC3,Rest,589.0,53,16,69,-17.873429050259485,True,63.17257496987159,False,>10 DE genes,on-target KD,ENSG00000102580,ENSG00000102580_Rest,DNAJC3
2065,ENSG00000112697,TMEM30A,Rest,835.0,220,112,332,-18.05049975120091,True,42.07028523513049,False,>10 DE genes,on-target KD,ENSG00000112697,ENSG00000112697_Rest,TMEM30A
2072,ENSG00000127125,PPCS,Rest,137.0,523,153,676,-3.932837864633609,True,20.31477238090753,False,>10 DE genes,on-target KD,ENSG00000127125,ENSG00000127125_Rest,PPCS
2078,ENSG00000148459,PDSS1,Rest,409.0,27,5,32,-5.000845823850134,True,10.70384459285133,False,>10 DE genes,on-target KD,ENSG00000148459,ENSG00000148459_Rest,PDSS1
2079,ENSG00000155090,KLF10,Rest,429.0,27,5,32,-9.322125214384492,True,29.06132829889748,False,>10 DE genes,on-target KD,ENSG00000155090,ENSG00000155090_Rest,KLF10
2083,ENSG00000162777,DENND2D,Rest,626.0,262,55,317,-19.2029856397548,True,100.76592869398534,False,>10 DE genes,on-target KD,ENSG00000162777,ENSG00000162777_Rest,DENND2D
2084,ENSG00000163069,SGCB,Rest,290.0,19,30,49,-7.050611651247971,True,24.43065581119463,False,>10 DE genes,on-target KD,ENSG00000163069,ENSG00000163069_Rest,SGCB
2086,ENSG00000170667,RASA4B,Rest,159.0,198,76,274,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000170667,ENSG00000170667_Rest,RASA4B
2097,ENSG00000204120,GIGYF2,Rest,460.0,110,48,158,-11.489649395505696,True,32.434878006223165,False,>10 DE genes,on-target KD,ENSG00000204120,ENSG00000204120_Rest,GIGYF2
2104,ENSG00000079785,DDX1,Rest,77.0,257,51,308,-7.51210735603312,True,99.34931256763284,False,>10 DE genes,on-target KD,ENSG00000079785,ENSG00000079785_Rest,DDX1
2105,ENSG00000101544,ADNP2,Rest,1236.0,34,24,58,-21.15445945535488,True,39.43108945768396,False,>10 DE genes,on-target KD,ENSG00000101544,ENSG00000101544_Rest,ADNP2
2112,ENSG00000113615,SEC24A,Rest,76.0,276,221,497,0.36435171040192,False,36.52946011165773,False,>10 DE genes,no on-target KD,ENSG00000113615,ENSG00000113615_Rest,SEC24A
2117,ENSG00000125633,CCDC93,Rest,295.0,67,35,102,-7.11295221473698,True,23.69417870973675,False,>10 DE genes,on-target KD,ENSG00000125633,ENSG00000125633_Rest,CCDC93
2123,ENSG00000139977,NAA30,Rest,94.0,971,340,1311,-6.934639124872205,True,38.41281538832646,False,>10 DE genes,on-target KD,ENSG00000139977,ENSG00000139977_Rest,NAA30
2128,ENSG00000159692,CTBP1,Rest,1442.0,1224,929,2153,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000159692,ENSG00000159692_Rest,CTBP1
2147,ENSG00000250151,ARPC4-TTLL3,Rest,1523.0,209,80,289,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000250151,ENSG00000250151_Rest,ARPC4-TTLL3
2150,ENSG00000022267,FHL1,Stim8hr,852.0,413,52,465,-1.4175846848142342,False,1.1571454713049734,False,>10 DE genes,no on-target KD,ENSG00000022267,ENSG00000022267_Stim8hr,FHL1
2151,ENSG00000070444,MNT,Stim8hr,246.0,48,5,53,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000070444,ENSG00000070444_Stim8hr,MNT
2164,ENSG00000119655,NPC2,Stim8hr,355.0,328,112,440,-8.243766620555702,True,31.241763459499023,True,>10 DE genes,on-target KD,ENSG00000119655,ENSG00000119655_Stim8hr,NPC2
2166,ENSG00000128596,CCDC136,Stim8hr,551.0,32,6,38,-2.100040415795628,False,0.9174345839668978,False,>10 DE genes,no on-target KD,ENSG00000128596,ENSG00000128596_Stim8hr,CCDC136
2170,ENSG00000139718,SETD1B,Stim8hr,182.0,91,128,219,-11.974495426135658,True,82.80457664752372,False,>10 DE genes,on-target KD,ENSG00000139718,ENSG00000139718_Stim8hr,SETD1B
2176,ENSG00000148634,HERC4,Stim8hr,126.0,19,14,33,-4.281486025261483,True,31.82766874932114,False,>10 DE genes,on-target KD,ENSG00000148634,ENSG00000148634_Stim8hr,HERC4
2179,ENSG00000159111,MRPL10,Stim8hr,183.0,26,9,35,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000159111,ENSG00000159111_Stim8hr,MRPL10
2190,ENSG00000179750,APOBEC3B,Stim8hr,914.0,148,37,185,-5.179939629518646,True,4.015406057932343,False,>10 DE genes,on-target KD,ENSG00000179750,ENSG00000179750_Stim8hr,APOBEC3B
2199,ENSG00000232838,PET117,Stim8hr,138.0,17,23,40,-4.536224652381203,True,27.994747961547297,False,>10 DE genes,on-target KD,ENSG00000232838,ENSG00000232838_Stim8hr,PET117
2201,ENSG00000054967,RELT,Stim8hr,1404.0,16,20,36,-15.285252945774104,True,20.914466700915742,False,>10 DE genes,on-target KD,ENSG00000054967,ENSG00000054967_Stim8hr,RELT
2207,ENSG00000103363,ELOB,Stim8hr,1093.0,2211,841,3052,-23.532262132140296,True,106.97024803601856,False,>10 DE genes,on-target KD,ENSG00000103363,ENSG00000103363_Stim8hr,ELOB
2209,ENSG00000113048,MRPS27,Stim8hr,298.0,53,34,87,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000113048,ENSG00000113048_Stim8hr,MRPS27
2213,ENSG00000124217,MOCS3,Stim8hr,115.0,88,57,145,-5.741721727046848,True,30.574846632023217,True,>10 DE genes,on-target KD,ENSG00000124217,ENSG00000124217_Stim8hr,MOCS3
2232,ENSG00000162191,UBXN1,Stim8hr,1027.0,1923,1521,3444,-6.792549085997379,True,43.24580413592966,True,>10 DE genes,on-target KD,ENSG00000162191,ENSG00000162191_Stim8hr,UBXN1
2233,ENSG00000162694,EXTL2,Stim8hr,700.0,42,8,50,-3.5852008086762024,True,5.079278059987097,False,>10 DE genes,on-target KD,ENSG00000162694,ENSG00000162694_Stim8hr,EXTL2
2237,ENSG00000171793,CTPS1,Stim8hr,315.0,544,348,892,-8.056806220548136,True,173.5328916532492,False,>10 DE genes,on-target KD,ENSG00000171793,ENSG00000171793_Stim8hr,CTPS1
2250,ENSG00000056050,HPF1,Stim8hr,514.0,39,20,59,-8.406644357841513,True,13.74477322266593,False,>10 DE genes,on-target KD,ENSG00000056050,ENSG00000056050_Stim8hr,HPF1
2251,ENSG00000062582,MRPS24,Stim8hr,245.0,90,73,163,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000062582,ENSG00000062582_Stim8hr,MRPS24
2252,ENSG00000071655,MBD3,Stim8hr,1466.0,34,41,75,-30.313357339049112,True,74.99555860505035,True,>10 DE genes,on-target KD,ENSG00000071655,ENSG00000071655_Stim8hr,MBD3
2256,ENSG00000105507,CABP5,Stim8hr,678.0,49,12,61,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000105507,ENSG00000105507_Stim8hr,CABP5
2266,ENSG00000147050,KDM6A,Stim8hr,1219.0,21,41,62,-15.26779558962106,True,33.462179416560645,False,>10 DE genes,on-target KD,ENSG00000147050,ENSG00000147050_Stim8hr,KDM6A
2274,ENSG00000160799,CCDC12,Stim8hr,162.0,359,235,594,-3.067652134376165,True,86.91201617680929,False,>10 DE genes,on-target KD,ENSG00000160799,ENSG00000160799_Stim8hr,CCDC12
2276,ENSG00000162601,MYSM1,Stim8hr,594.0,17,21,38,-14.161374292289944,True,43.30488075911657,False,>10 DE genes,on-target KD,ENSG00000162601,ENSG00000162601_Stim8hr,MYSM1
2294,ENSG00000205323,SARNP,Stim8hr,1374.0,44,18,62,-14.848292786074596,True,52.10960818903608,True,>10 DE genes,on-target KD,ENSG00000205323,ENSG00000205323_Stim8hr,SARNP
2295,ENSG00000205339,IPO7,Stim8hr,154.0,21,32,53,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000205339,ENSG00000205339_Stim8hr,IPO7
2297,ENSG00000240230,COX19,Stim8hr,228.0,180,130,310,-6.362562164244811,True,35.58221243530207,False,>10 DE genes,on-target KD,ENSG00000240230,ENSG00000240230_Stim8hr,COX19
2309,ENSG00000105220,GPI,Stim8hr,475.0,501,454,955,-19.47275991294692,True,88.71723065390661,False,>10 DE genes,on-target KD,ENSG00000105220,ENSG00000105220_Stim8hr,GPI
2312,ENSG00000118046,STK11,Stim8hr,218.0,866,305,1171,-9.537633408520572,True,69.26290061411733,False,>10 DE genes,on-target KD,ENSG00000118046,ENSG00000118046_Stim8hr,STK11
2314,ENSG00000121940,CLCC1,Stim8hr,1040.0,475,205,680,-16.635371928910605,True,32.907657260486786,False,>10 DE genes,on-target KD,ENSG00000121940,ENSG00000121940_Stim8hr,CLCC1
2315,ENSG00000124422,USP22,Stim8hr,1371.0,1667,714,2381,-25.18999757044618,True,60.33919057713685,False,>10 DE genes,on-target KD,ENSG00000124422,ENSG00000124422_Stim8hr,USP22
2316,ENSG00000128340,RAC2,Stim8hr,576.0,101,20,121,-24.80488903128223,True,389.5795095234989,False,>10 DE genes,on-target KD,ENSG00000128340,ENSG00000128340_Stim8hr,RAC2
2332,ENSG00000165525,NEMF,Stim8hr,399.0,34,13,47,-14.134465577111964,True,107.23577605731457,False,>10 DE genes,on-target KD,ENSG00000165525,ENSG00000165525_Stim8hr,NEMF
2344,ENSG00000197530,MIB2,Stim8hr,253.0,15,23,38,-2.036932686691214,True,2.849137778404101,False,>10 DE genes,on-target KD,ENSG00000197530,ENSG00000197530_Stim8hr,MIB2
2361,ENSG00000106546,AHR,Stim48hr,1260.0,1141,681,1822,-15.61920191067684,True,95.90368745536774,False,>10 DE genes,on-target KD,ENSG00000106546,ENSG00000106546_Stim48hr,AHR
2367,ENSG00000119421,NDUFA8,Stim48hr,326.0,560,478,1038,-17.00957760008768,True,109.69398601185216,False,>10 DE genes,on-target KD,ENSG00000119421,ENSG00000119421_Stim48hr,NDUFA8
2371,ENSG00000132881,CPLANE2,Stim48hr,139.0,38,4,42,-0.065552501831897,False,2.263980018708696,False,>10 DE genes,no on-target KD,ENSG00000132881,ENSG00000132881_Stim48hr,CPLANE2
2383,ENSG00000164091,WDR82,Stim48hr,313.0,911,652,1563,-14.841124596088736,True,238.01000053875268,False,>10 DE genes,on-target KD,ENSG00000164091,ENSG00000164091_Stim48hr,WDR82
2389,ENSG00000184900,SUMO3,Stim48hr,312.0,24,14,38,-6.455532168372737,True,284.4863407800341,False,>10 DE genes,on-target KD,ENSG00000184900,ENSG00000184900_Stim48hr,SUMO3
2392,ENSG00000196072,BLOC1S2,Stim48hr,299.0,48,5,53,-16.318987413605083,True,120.67392214935742,False,>10 DE genes,on-target KD,ENSG00000196072,ENSG00000196072_Stim48hr,BLOC1S2
2394,ENSG00000198492,YTHDF2,Stim48hr,434.0,1682,936,2618,-21.815594176327807,True,134.52927828851796,False,>10 DE genes,on-target KD,ENSG00000198492,ENSG00000198492_Stim48hr,YTHDF2
2395,ENSG00000198851,CD3E,Stim48hr,91.0,1189,397,1586,-6.924726721158388,True,361.5413930894906,False,>10 DE genes,on-target KD,ENSG00000198851,ENSG00000198851_Stim48hr,CD3E
2402,ENSG00000075568,TMEM131,Stim48hr,567.0,31,2,33,-14.06762518130552,True,41.19858755542485,False,>10 DE genes,on-target KD,ENSG00000075568,ENSG00000075568_Stim48hr,TMEM131
2403,ENSG00000089154,GCN1,Stim48hr,344.0,164,114,278,-16.4182115693732,True,96.11074798323452,False,>10 DE genes,on-target KD,ENSG00000089154,ENSG00000089154_Stim48hr,GCN1
2419,ENSG00000139197,PEX5,Stim48hr,745.0,117,100,217,-6.563660130544229,True,7.7000624288711474,False,>10 DE genes,on-target KD,ENSG00000139197,ENSG00000139197_Stim48hr,PEX5
2421,ENSG00000140995,DEF8,Stim48hr,1099.0,105,140,245,-3.945630147551336,True,1.7043678014663266,False,>10 DE genes,on-target KD,ENSG00000140995,ENSG00000140995_Stim48hr,DEF8
2429,ENSG00000168209,DDIT4,Stim48hr,490.0,197,121,318,-20.217804942052943,True,976.3105266349002,False,>10 DE genes,on-target KD,ENSG00000168209,ENSG00000168209_Stim48hr,DDIT4
2437,ENSG00000183337,BCOR,Stim48hr,1429.0,26,16,42,-6.673169589177888,True,101.33212293737748,False,>10 DE genes,on-target KD,ENSG00000183337,ENSG00000183337_Stim48hr,BCOR
2446,ENSG00000204498,NFKBIL1,Stim48hr,1903.0,30,3,33,-7.627076160622622,True,33.31197500499218,False,>10 DE genes,on-target KD,ENSG00000204498,ENSG00000204498_Stim48hr,NFKBIL1
2447,ENSG00000204568,MRPS18B,Stim48hr,276.0,299,188,487,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000204568,ENSG00000204568_Stim48hr,MRPS18B
2473,ENSG00000135486,HNRNPA1,Stim48hr,821.0,547,619,1166,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000135486,ENSG00000135486_Stim48hr,HNRNPA1
2477,ENSG00000142871,CYR61,Stim48hr,685.0,57,54,111,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000142871,ENSG00000142871_Stim48hr,CCN1
2478,ENSG00000143436,MRPL9,Stim48hr,634.0,73,89,162,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000143436,ENSG00000143436_Stim48hr,MRPL9
2489,ENSG00000173757,STAT5B,Stim48hr,107.0,644,416,1060,-8.918683919969254,True,141.718658934092,False,>10 DE genes,on-target KD,ENSG00000173757,ENSG00000173757_Stim48hr,STAT5B
2501,ENSG00000072506,HSD17B10,Stim48hr,359.0,183,157,340,-8.148786995028823,True,103.70688537823528,False,>10 DE genes,on-target KD,ENSG00000072506,ENSG00000072506_Stim48hr,HSD17B10
2505,ENSG00000100983,GSS,Stim48hr,104.0,264,160,424,-7.486619501483103,True,78.49119545191013,False,>10 DE genes,on-target KD,ENSG00000100983,ENSG00000100983_Stim48hr,GSS
2506,ENSG00000101158,NELFCD,Stim48hr,102.0,67,12,79,-9.213329870422614,True,113.75849609139088,False,>10 DE genes,on-target KD,ENSG00000101158,ENSG00000101158_Stim48hr,NELFCD
2514,ENSG00000122035,RASL11A,Stim48hr,338.0,77,39,116,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000122035,ENSG00000122035_Stim48hr,RASL11A
2519,ENSG00000135316,SYNCRIP,Stim48hr,648.0,16,39,55,-5.4270672357826,True,15.53804600347376,False,>10 DE genes,on-target KD,ENSG00000135316,ENSG00000135316_Stim48hr,SYNCRIP
2521,ENSG00000137275,RIPK1,Stim48hr,392.0,33,49,82,-8.78667840174242,True,21.450016091370124,False,>10 DE genes,on-target KD,ENSG00000137275,ENSG00000137275_Stim48hr,RIPK1
2522,ENSG00000137492,THAP12,Stim48hr,913.0,136,115,251,-15.377734971069662,True,96.93645042512225,True,>10 DE genes,on-target KD,ENSG00000137492,ENSG00000137492_Stim48hr,THAP12
2530,ENSG00000161813,LARP4,Stim48hr,600.0,11,56,67,-21.597968275562067,True,134.44263442721137,False,>10 DE genes,on-target KD,ENSG00000161813,ENSG00000161813_Stim48hr,LARP4
2535,ENSG00000170509,HSD17B13,Stim48hr,378.0,38,7,45,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000170509,ENSG00000170509_Stim48hr,HSD17B13
2537,ENSG00000171492,LRRC8D,Stim48hr,541.0,26,20,46,-5.569569290537931,True,23.510453656101426,False,>10 DE genes,on-target KD,ENSG00000171492,ENSG00000171492_Stim48hr,LRRC8D
2548,ENSG00000215397,SCRT2,Stim48hr,983.0,46,13,59,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000215397,ENSG00000215397_Stim48hr,SCRT2
2549,ENSG00000280789,PAGR1,Stim48hr,548.0,56,54,110,-17.63516548015028,True,71.01672736708265,False,>10 DE genes,on-target KD,ENSG00000280789,ENSG00000280789_Stim48hr,PAGR1
2566,ENSG00000138801,PAPSS1,Rest,432.0,97,153,250,-10.869252546998643,True,41.13110184508214,False,>10 DE genes,on-target KD,ENSG00000138801,ENSG00000138801_Rest,PAPSS1
2582,ENSG00000169020,ATP5ME,Rest,234.0,279,86,365,-13.448202343992785,True,84.01954055061297,False,>10 DE genes,on-target KD,ENSG00000169020,ENSG00000169020_Rest,ATP5ME
2583,ENSG00000170581,STAT2,Rest,605.0,9,34,43,-16.79580634322941,True,70.84076728530452,False,>10 DE genes,on-target KD,ENSG00000170581,ENSG00000170581_Rest,STAT2
2587,ENSG00000174177,CTU2,Rest,469.0,230,97,327,-7.540471981274566,True,16.33980333180726,True,>10 DE genes,on-target KD,ENSG00000174177,ENSG00000174177_Rest,CTU2
2592,ENSG00000182963,GJC1,Rest,190.0,179,106,285,-1.2196746985340523,True,1.3865547985939648,False,>10 DE genes,on-target KD,ENSG00000182963,ENSG00000182963_Rest,GJC1
2593,ENSG00000187522,HSPA14,Rest,136.0,32,3,35,-5.0695363040608585,True,37.20410146163477,False,>10 DE genes,on-target KD,ENSG00000187522,ENSG00000187522_Rest,HSPA14
2601,ENSG00000008256,CYTH3,Stim8hr,267.0,19,80,99,-1.7587359446435953,True,1.688082443488632,False,>10 DE genes,on-target KD,ENSG00000008256,ENSG00000008256_Stim8hr,CYTH3
2606,ENSG00000100575,TIMM9,Stim8hr,95.0,17,14,31,-5.790599826942554,True,87.43244413425663,False,>10 DE genes,on-target KD,ENSG00000100575,ENSG00000100575_Stim8hr,TIMM9
2609,ENSG00000109270,LAMTOR3,Stim8hr,303.0,138,44,182,-11.773049828871605,True,76.36738994256932,False,>10 DE genes,on-target KD,ENSG00000109270,ENSG00000109270_Stim8hr,LAMTOR3
2613,ENSG00000114209,PDCD10,Stim8hr,287.0,107,33,140,-17.827516184767312,True,113.71777036138036,False,>10 DE genes,on-target KD,ENSG00000114209,ENSG00000114209_Stim8hr,PDCD10
2614,ENSG00000114850,SSR3,Stim8hr,1121.0,27,4,31,-34.776009949252526,True,209.3709001753537,False,>10 DE genes,on-target KD,ENSG00000114850,ENSG00000114850_Stim8hr,SSR3
2618,ENSG00000130559,CAMSAP1,Stim8hr,154.0,591,272,863,-6.240119553261474,True,33.936158008712084,False,>10 DE genes,on-target KD,ENSG00000130559,ENSG00000130559_Stim8hr,CAMSAP1
2620,ENSG00000134982,APC,Stim8hr,91.0,206,39,245,-3.587534873692923,True,20.35204049659644,False,>10 DE genes,on-target KD,ENSG00000134982,ENSG00000134982_Stim8hr,APC
2639,ENSG00000182307,C8orf33,Stim8hr,627.0,61,24,85,-24.49845336823674,True,123.45744064590257,False,>10 DE genes,on-target KD,ENSG00000182307,ENSG00000182307_Stim8hr,C8orf33
2641,ENSG00000196511,TPK1,Stim8hr,241.0,27,9,36,-3.7990332592435903,True,6.521123754644722,False,>10 DE genes,on-target KD,ENSG00000196511,ENSG00000196511_Stim8hr,TPK1
2646,ENSG00000203618,GP1BB,Stim8hr,372.0,22,33,55,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000203618,ENSG00000203618_Stim8hr,GP1BB
2654,ENSG00000104859,CLASRP,Rest,112.0,110,47,157,-5.196542208935637,True,32.84403509722517,False,>10 DE genes,on-target KD,ENSG00000104859,ENSG00000104859_Rest,CLASRP
2656,ENSG00000115523,GNLY,Rest,590.0,35,18,53,-4.846892379952313,True,114.58093627133756,False,>10 DE genes,on-target KD,ENSG00000115523,ENSG00000115523_Rest,GNLY
2659,ENSG00000118513,MYB,Rest,1242.0,790,535,1325,-4.389690084945521,True,20.40338062445068,False,>10 DE genes,on-target KD,ENSG00000118513,ENSG00000118513_Rest,MYB
2663,ENSG00000126249,PDCD2L,Rest,740.0,637,409,1046,-7.9704341165895745,True,10.609180366390754,False,>10 DE genes,on-target KD,ENSG00000126249,ENSG00000126249_Rest,PDCD2L
2670,ENSG00000139405,RITA1,Rest,76.0,49,46,95,-3.3337983651349257,False,24.2672818324527,True,>10 DE genes,putative off-target,ENSG00000139405,ENSG00000139405_Rest,RITA1
2676,ENSG00000143437,ARNT,Rest,1001.0,1186,1134,2320,-17.67732833735752,True,34.19539193610704,False,>10 DE genes,on-target KD,ENSG00000143437,ENSG00000143437_Rest,ARNT
2683,ENSG00000162227,TAF6L,Rest,871.0,2343,1025,3368,-9.456345125102144,True,9.664885431921258,True,>10 DE genes,on-target KD,ENSG00000162227,ENSG00000162227_Rest,TAF6L
2686,ENSG00000170509,HSD17B13,Rest,471.0,74,12,86,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000170509,ENSG00000170509_Rest,HSD17B13
2707,ENSG00000100425,BRD1,Stim8hr,187.0,109,183,292,-12.360408858965396,True,96.7038430408632,False,>10 DE genes,on-target KD,ENSG00000100425,ENSG00000100425_Stim8hr,BRD1
2717,ENSG00000127184,COX7C,Stim8hr,307.0,22,13,35,-8.397019673843204,True,29.62691971902204,False,>10 DE genes,on-target KD,ENSG00000127184,ENSG00000127184_Stim8hr,COX7C
2720,ENSG00000135423,GLS2,Stim8hr,157.0,28,6,34,-0.7934916804477239,False,0.9322021521260871,False,>10 DE genes,no on-target KD,ENSG00000135423,ENSG00000135423_Stim8hr,GLS2
2741,ENSG00000177576,C18orf32,Stim8hr,224.0,47,27,74,-10.06265297080134,True,62.78461113662503,False,>10 DE genes,on-target KD,ENSG00000177576,ENSG00000177576_Stim8hr,C18orf32
2744,ENSG00000185813,PCYT2,Stim8hr,410.0,479,245,724,-8.504652874076832,True,19.400993900100595,False,>10 DE genes,on-target KD,ENSG00000185813,ENSG00000185813_Stim8hr,PCYT2
2747,ENSG00000213593,TMX2,Stim8hr,253.0,89,30,119,-8.537312363402744,True,129.70418172343338,False,>10 DE genes,on-target KD,ENSG00000213593,ENSG00000213593_Stim8hr,TMX2
2763,ENSG00000108510,MED13,Stim48hr,1501.0,427,202,629,-31.269421982409806,True,89.00499991901914,False,>10 DE genes,on-target KD,ENSG00000108510,ENSG00000108510_Stim48hr,MED13
2767,ENSG00000120254,MTHFD1L,Stim48hr,233.0,480,236,716,-12.324419942726935,True,86.28667601010156,False,>10 DE genes,on-target KD,ENSG00000120254,ENSG00000120254_Stim48hr,MTHFD1L
2775,ENSG00000132541,RIDA,Stim48hr,89.0,324,230,554,-4.348786718852315,True,32.750892646246186,False,>10 DE genes,on-target KD,ENSG00000132541,ENSG00000132541_Stim48hr,RIDA
2776,ENSG00000134086,VHL,Stim48hr,767.0,233,101,334,-20.763652616255264,True,91.68558626500838,False,>10 DE genes,on-target KD,ENSG00000134086,ENSG00000134086_Stim48hr,VHL
2783,ENSG00000159459,UBR1,Stim48hr,222.0,61,20,81,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000159459,ENSG00000159459_Stim48hr,UBR1
2786,ENSG00000163349,HIPK1,Stim48hr,226.0,20,14,34,-4.808484939974565,True,62.84151810991326,False,>10 DE genes,on-target KD,ENSG00000163349,ENSG00000163349_Stim48hr,HIPK1
2796,ENSG00000228474,OST4,Stim48hr,1168.0,46,69,115,-21.012571480127995,True,122.07933869415344,False,>10 DE genes,on-target KD,ENSG00000228474,ENSG00000228474_Stim48hr,OST4
2807,ENSG00000078487,ZCWPW1,Rest,1257.0,40,4,44,-4.326847549304538,True,1.6055454337110178,True,>10 DE genes,on-target KD,ENSG00000078487,ENSG00000078487_Rest,ZCWPW1
2809,ENSG00000105722,ERF,Rest,202.0,47,5,52,-4.905886145432324,True,14.27671674061672,False,>10 DE genes,on-target KD,ENSG00000105722,ENSG00000105722_Rest,ERF
2810,ENSG00000106546,AHR,Rest,1214.0,1572,1218,2790,-14.455686669745589,True,67.27409868914711,False,>10 DE genes,on-target KD,ENSG00000106546,ENSG00000106546_Rest,AHR
2820,ENSG00000128908,INO80,Rest,193.0,202,139,341,-4.953737642766256,True,24.961958581737207,False,>10 DE genes,on-target KD,ENSG00000128908,ENSG00000128908_Rest,INO80
2840,ENSG00000183978,COA3,Rest,282.0,90,22,112,-9.056846880461846,True,41.35485613496581,False,>10 DE genes,on-target KD,ENSG00000183978,ENSG00000183978_Rest,COA3
2855,ENSG00000040633,PHF23,Rest,324.0,278,425,703,-8.915548218601039,True,28.194862379824013,True,>10 DE genes,on-target KD,ENSG00000040633,ENSG00000040633_Rest,PHF23
2858,ENSG00000095787,WAC,Rest,393.0,598,567,1165,-6.882631419443582,True,16.89454851811276,False,>10 DE genes,on-target KD,ENSG00000095787,ENSG00000095787_Rest,WAC
2866,ENSG00000116198,CEP104,Rest,398.0,31,27,58,-10.032066337716133,True,25.6149027970366,False,>10 DE genes,on-target KD,ENSG00000116198,ENSG00000116198_Rest,CEP104
2878,ENSG00000141968,VAV1,Rest,414.0,51,19,70,-15.63560163562742,True,73.87880942055504,False,>10 DE genes,on-target KD,ENSG00000141968,ENSG00000141968_Rest,VAV1
2882,ENSG00000152520,PAN3,Rest,806.0,63,27,90,-16.72519497296903,True,38.27250833830245,False,>10 DE genes,on-target KD,ENSG00000152520,ENSG00000152520_Rest,PAN3
2883,ENSG00000153561,RMND5A,Rest,540.0,170,114,284,-19.34945447197269,True,84.24311992733641,False,>10 DE genes,on-target KD,ENSG00000153561,ENSG00000153561_Rest,RMND5A
2891,ENSG00000168564,CDKN2AIP,Rest,505.0,51,62,113,-8.652133904749588,True,15.990850551551372,False,>10 DE genes,on-target KD,ENSG00000168564,ENSG00000168564_Rest,CDKN2AIP
2897,ENSG00000243725,TTC4,Rest,142.0,270,221,491,-4.562691887045135,True,14.714598843231178,False,>10 DE genes,on-target KD,ENSG00000243725,ENSG00000243725_Rest,TTC4
2898,ENSG00000244462,RBM12,Rest,525.0,75,38,113,-7.284446551557492,True,20.376369105771484,True,>10 DE genes,on-target KD,ENSG00000244462,ENSG00000244462_Rest,RBM12
2904,ENSG00000078596,ITM2A,Stim8hr,469.0,73,5,78,-16.813683530862345,True,114.71590588064451,False,>10 DE genes,on-target KD,ENSG00000078596,ENSG00000078596_Stim8hr,ITM2A
2910,ENSG00000106615,RHEB,Stim8hr,451.0,675,185,860,-11.539128040253292,True,75.7082210471378,False,>10 DE genes,on-target KD,ENSG00000106615,ENSG00000106615_Stim8hr,RHEB
2913,ENSG00000125952,MAX,Stim8hr,1309.0,1367,856,2223,-18.59104351892798,True,168.63157987266294,False,>10 DE genes,on-target KD,ENSG00000125952,ENSG00000125952_Stim8hr,MAX
2915,ENSG00000134323,MYCN,Stim8hr,967.0,265,178,443,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000134323,ENSG00000134323_Stim8hr,MYCN
2919,ENSG00000142634,EFHD2,Stim8hr,160.0,34,7,41,-6.529922827543291,True,279.15563926384897,False,>10 DE genes,on-target KD,ENSG00000142634,ENSG00000142634_Stim8hr,EFHD2
2930,ENSG00000165609,NUDT5,Stim8hr,97.0,103,15,118,-13.909838474139358,True,185.739815371086,True,>10 DE genes,on-target KD,ENSG00000165609,ENSG00000165609_Stim8hr,NUDT5
2932,ENSG00000166233,ARIH1,Stim8hr,334.0,429,172,601,-14.155651958105896,True,63.63923893957264,False,>10 DE genes,on-target KD,ENSG00000166233,ENSG00000166233_Stim8hr,ARIH1
2935,ENSG00000172428,COPS9,Stim8hr,617.0,39,6,45,-14.38617255717458,True,40.46676353679139,False,>10 DE genes,on-target KD,ENSG00000172428,ENSG00000172428_Stim8hr,COPS9
