gene_name,chrom,tss,strand
RAB3D,chr19,11346270,-
SLC35G5,chr8,11331012,+
TMEM205,chr19,11346518,-
CCDC159,chr19,11344684,+
PRB1,chr12,11355591,-
CSNK2A3,chr11,11353250,-
PLPPR2,chr19,11355386,+
ENSG00000188897,chr16,11527247,-
THSD7A,chr7,11832198,-
SWSAP1,chr19,11374666,+
EPOR,chr19,11384314,-
RGL3,chr19,11419328,-
PRB2,chr12,11501041,-
HS3ST1,chr4,11429564,-
ODAD3,chr19,11435782,-
FAM167A,chr8,11475908,-
PRKCSH,chr19,11435284,+
E2F6,chr2,11466177,-
ELAVL3,chr19,11481046,-
USP6NL,chr10,11611666,-
ENSG00000267477,chr19,11505698,-
DISP3,chr1,11479155,+
GREB1,chr2,11482341,+
ZNF653,chr19,11505839,-
BLK,chr8,11486894,+
ECSIT,chr19,11529172,-
TMEM170B,chr6,11537749,+
CNN1,chr19,11538767,+
LITAF,chr16,11636381,-
ELOF1,chr19,11559230,-
VGLL4,chr3,11771350,-
ZNF627,chr19,11559374,+
ACP5,chr19,11579107,-
DNAH9,chr17,11598470,+
SLC35G4,chr18,11609596,+
FBXO2,chr1,11655785,-
ETV6,chr12,11649674,+
FBXO44,chr1,11654375,+
MAD2L2,chr1,11691811,-
NTSR2,chr2,11670195,-
FBXO6,chr1,11664200,+
SNN,chr16,11668455,+
GATA4,chr8,11676959,+
LPIN1,chr2,11677595,+
TXNDC11,chr16,11742857,-
GNAL,chr18,11689264,+
DRAXIN,chr1,11691710,+
ADTRP,chr6,11807046,-
ZNF823,chr19,11739009,-
AGTRAP,chr1,11736084,+
ECHDC3,chr10,11742366,+
ZC3H7A,chr16,11797258,-
MSL3,chrX,11758159,+
C1orf167,chr1,11761787,+
ZNF441,chr19,11767000,+
NEIL2,chr8,11769639,+
MTHFR,chr1,11806103,-
TAMM41,chr3,11846919,-
FDFT1,chr8,11795573,+
ZNF491,chr19,11797667,+
CLCN6,chr1,11806096,+
ZNF440,chr19,11814273,+
FRMPD4,chrX,11822423,+
PROSER2,chr10,11823339,+
RSL1D1,chr16,11851544,-
USP47,chr11,11841423,+
CTSB,chr8,11869533,-
NPPA,chr1,11848345,-
ZNF439,chr19,11848726,+
CHMP1B,chr18,11851413,+
NPPB,chr1,11858945,-
GSPT1,chr16,11916082,-
MPPE1,chr18,11908366,-
ZNF69,chr19,11887782,+
BTBD3,chr20,11890723,+
KIAA2013,chr1,11926428,-
UPF2,chr10,12043170,-
ZNF700,chr19,11925068,+
ENSG00000267179,chr19,11925075,+
NPIPB2,chr16,11976643,-
PLOD1,chr1,11934205,+
DKK3,chr11,12009769,-
ZNF763,chr19,11965037,+
TNFRSF17,chr16,11965210,+
DEFB136,chr8,11974599,-
SNX29,chr16,11976734,+
ZNF18,chr17,11997475,-
MFN2,chr1,11980181,+
IMPA2,chr18,11981025,+
DEFB135,chr8,11982256,+
ENSG00000286098,chr19,11987641,+
DEFB134,chr8,12000752,-
SYN2,chr3,12004388,+
HIVEP1,chr6,12008762,+
ZNF433,chr19,12035741,-
ENSG00000257355,chr19,12052967,-
MIIP,chr1,12019466,+
MAP2K4,chr17,12020834,+
ZNF878,chr19,12052961,-
BCL2L14,chr12,12049844,+
TNFRSF8,chr1,12063303,+
DEFB130B,chr8,12071747,-
ZNF844,chr19,12064731,+
DHTKD1,chr10,12068954,+
ENSG00000286132,chr19,12075327,+
ZNF705D,chr8,12089338,+
ZNF20,chr19,12140355,-
ANKRD62,chr18,12093843,+
MICAL2,chr11,12094008,+
LRP6,chr12,12267044,-
SEC61A2,chr10,12129637,+
ZNF625-ZNF20,chr19,12156731,-
USP17L7,chr8,12134099,-
USP17L2,chr8,12138849,-
ZNF625,chr19,12156734,-
DEFB109D,chr8,12158033,-
TIMP4,chr3,12158912,-
ZNF136,chr19,12163064,+
NUDT5,chr10,12195891,-
TNFRSF1B,chr1,12166991,+
FAM86B1,chr8,12194127,-
CDC123,chr10,12195965,+
TMEM106B,chr7,12211294,+
ZNF44,chr19,12294883,-
VPS13D,chr1,12230030,+
CIDEA,chr18,12254361,+
PPARG,chr3,12287368,+
EDN1,chr6,12290361,+
TUBB6,chr18,12307669,+
DEFB130A,chr8,12318316,-
ZNF563,chr19,12333720,-
MANSC1,chr12,12350242,-
AFG3L2,chr18,12377227,-
VWDE,chr7,12403865,-
ZNF442,chr19,12365905,-
CAMK1D,chr10,12349547,+
BORCS5,chr12,12357078,+
PARVA,chr11,12377571,+
ZNF799,chr19,12401271,-
ENSG00000268870,chr19,12441082,-
PRELID3A,chr18,12407896,+
FAM86B2,chr8,12436400,-
ZNF443,chr19,12441021,-
ENSG00000269755,chr19,12484816,-
SPIRE1,chr18,12658107,-
ZNF709,chr19,12513854,-
ENSG00000196826,chr19,12551474,-
C7orf78,chr7,12469621,+
DUSP16,chr12,12562863,-
TSEN2,chr3,12484421,+
MKRN2OS,chr3,12561059,-
ZNF564,chr19,12551542,-
ENSG00000269693,chr19,12580975,-
USP9Y,chrY,12537650,+
MKRN2,chr3,12557087,+
DHRS3,chr1,12620133,-
SCIN,chr7,12570719,+
ZNF490,chr19,12640098,-
RAF1,chr3,12664187,-
ZNF791,chr19,12610918,+
CREBL2,chr12,12611827,+
ENSG00000269242,chr19,12648397,-
MAN2B1,chr19,12666742,-
AADACL4,chr1,12644085,+
PSMG2,chr18,12658043,+
CPPED1,chr16,12803887,-
GPR19,chr12,12696207,-
CEP76,chr18,12702777,-
ENSG00000269590,chr19,12669397,-
MYOCD,chr17,12665890,+
WDR83,chr19,12666807,+
ENSG00000285589,chr19,12681834,-
WDR83OS,chr19,12669415,-
TEAD1,chr11,12674421,+
DHPS,chr19,12681880,-
TYRP1,chr9,12685439,+
CDKN1B,chr12,12685498,+
ARL4A,chr7,12686856,+
GNG14,chr19,12687998,+
FBXW9,chr19,12696631,-
TNPO2,chr19,12724011,-
AADACL3,chr1,12716110,+
PHACTR1,chr6,12716554,+
TRIB2,chr2,12716910,+
LONRF1,chr8,12756073,-
APOLD1,chr12,12725931,+
TRIR,chr19,12734684,-
TMEM40,chr3,12769457,-
GET3,chr19,12737139,+
CFAP107,chr1,12746200,+
BEST2,chr19,12751702,+
HOOK2,chr19,12872740,-
PRAMEF12,chr1,12773738,+
LURAP1L,chr9,12775020,+
PTPN2,chr18,12929643,-
ARHGAP44,chr17,12789498,+
PRPS2,chrX,12791355,+
PRAMEF1,chr1,12791397,+
JUNB,chr19,12791486,+
CAND2,chr3,12796472,+
PRDX2,chr19,12801800,-
THSD8,chr19,12802031,+
RNASEH2A,chr19,12806584,+
DDX47,chr12,12813316,+
PRAMEF11,chr1,12831410,-
RTBDN,chr19,12835428,-
ENSG00000289809,chr3,12825768,+
MAST1,chr19,12833951,+
RPL32,chr3,12841582,-
HNRNPCL1,chr1,12848720,-
PRAMEF2,chr1,12857086,+
TLR7,chrX,12867072,+
DNASE2,chr19,12881466,-
PRAMEF4,chr1,12886201,-
KLF1,chr19,12887201,-
GPRC5A,chr12,12890782,+
GCDH,chr19,12891128,+
PRAMEF10,chr1,12898270,-
CCDC3,chr10,13099652,-
IQSEC1,chr3,13283281,-
SYCE2,chr19,12919293,-
SHISA9,chr16,12901598,+
DDX3Y,chrY,12904108,+
TLR8,chrX,12906620,+
PRAMEF7,chr1,12916610,+
FARSA,chr19,12934037,-
PRAMEF6,chr1,12947580,-
CALR,chr19,12938609,+
GPRC5D,chr12,12952170,-
TRMT9B,chr8,12945642,+
RAD23A,chr19,12945862,+
SEH1L,chr18,12947133,+
GADD45GIP1,chr19,12957223,-
DAND5,chr19,12965159,+
HEBP1,chr12,13000265,-
TMSB4X,chrX,12975110,+
CEP192,chr18,12991362,+
ELAC2,chr17,13018065,-
NFIX,chr19,12995475,+
SPTLC3,chr20,13008972,+
RASSF10,chr11,13009316,+
FAM9C,chrX,13044682,-
FAM234B,chr12,13044381,+
PRAMEF27,chr1,13056575,-
HNRNPCL3,chr1,13060769,+
PRAMEF25,chr1,13068677,+
DLC1,chr8,13604610,-
GSG1,chr12,13103683,-
ENSG00000289766,chr12,13103484,-
LYL1,chr19,13103161,-
OPTN,chr10,13099449,+
TRMT1,chr19,13117567,-
MPDZ,chr9,13279692,-
HNRNPCL2,chr1,13116854,-
NACC1,chr19,13116862,+
STX10,chr19,13150383,-
PRAMEF26,chr1,13158116,-
IER2,chr19,13150411,+
MCM10,chr10,13161558,+
HNRNPCL4,chr1,13165631,-
PRAMEF9,chr1,13171848,+
PRAMEF13,chr1,13201409,-
EMP1,chr12,13196723,+
CACNA1A,chr19,13624489,-
LDLRAD4,chr18,13217498,+
ISM1,chr20,13221274,+
UCMA,chr10,13234374,-
PRAMEF18,chr1,13226154,-
UTY,chrY,13480673,-
PRAMEF5,chr1,13254198,+
TBC1D7,chr6,13328583,-
BMAL1,chr11,13276652,+
PHYH,chr10,13302412,-
PRAMEF8,chr1,13285137,-
PRAMEF33,chr1,13303539,+
PRAMEF15,chr1,13315581,+
NUP210,chr3,13420322,-
SEPHS1,chr10,13348298,-
ATXN3L,chrX,13320053,-
PRAMEF14,chr1,13347134,-
GFOD1,chr6,13487662,-
RAB28,chr4,13484365,-
PRAMEF19,chr1,13371947,-
BTBD10,chr11,13463297,-
TASP1,chr20,13638932,-
PRAMEF17,chr1,13389632,+
PRAMEF20,chr1,13410450,+
GRIN2B,chr12,13982002,-
BEND7,chr10,13529014,-
LRRC38,chr1,13514003,-
HDAC11,chr3,13479724,+
PTH,chr11,13496181,-
HS3ST3A1,chr17,13601929,-
NKX3-2,chr4,13544508,-
FBLN2,chr3,13549125,+
C8orf48,chr8,13566869,+
BOD1L1,chr4,13627725,-
EGFL6,chrX,13569601,+
SIRT5,chr6,13574227,+
PDPN,chr1,13583465,+
PRPF18,chr10,13586939,+
POTED,chr21,13609777,+
NOL7,chr6,13615335,+
RANBP9,chr6,13711835,-
FRMD4A,chr10,14462142,-
TCEANC,chrX,13653112,+
FAM210A,chr18,13726663,-
FAR1,chr11,13668659,+
RAB9A,chrX,13689128,+
DNAH5,chr5,14011818,-
PRDM2,chr1,13700188,+
TMSB4Y,chrY,13703899,+
TRAPPC2,chrX,13734635,-
ESF1,chr20,13784919,-
RNMT,chr18,13726660,+
YJU2B,chr19,13731760,+
OFD1,chrX,13734748,+
MRI1,chr19,13764522,+
GPM6B,chrX,13938638,-
C19orf53,chr19,13774456,+
NDUFAF5,chr20,13785028,+
MCUR1,chr6,13814557,-
ZSWIM4,chr19,13795443,+
WNT7A,chr3,13880071,-
MC5R,chr18,13824149,+
SEL1L2,chr20,13996443,-
NANOS3,chr19,13862063,+
MC2R,chr18,13915707,-
BRME1,chr19,13906452,-
ETV1,chr7,13991425,-
KAZN,chr1,13892792,+
CC2D1A,chr19,13906201,+
ERCC4,chr16,13920138,+
RNF182,chr6,13924446,+
PODNL1,chr19,13953392,-
DCAF15,chr19,13952509,+
RFX1,chr19,14007039,-
SPON1,chr11,13962723,+
ENSG00000293563,chr12,13980895,-
VCY,chrY,13986473,-
MACROD2,chr20,13995369,+
GEMIN8,chrX,14029893,-
RLN3,chr19,14028148,+
IL27RA,chr19,14031762,+
PALM3,chr19,14062076,-
VCY1B,chrY,14056227,+
ZNF519,chr18,14132490,-
COX10,chr17,14069496,+
MRTFB,chr16,14071319,+
MISP3,chr19,14072536,+
C19orf67,chr19,14085875,-
NFIB,chr9,14398983,-
SGCZ,chr8,15238431,-
SAMD1,chr19,14091036,-
PRKACA,chr19,14118084,-
LIPI,chr21,14210955,-
CHCHD4,chr3,14124870,-
SMIM46,chr19,14112476,-
CD83,chr6,14117256,+
ASF1B,chr19,14136589,-
TMEM43,chr3,14125052,+
ENSG00000268279,chr3,14137144,+
TRIO,chr5,14143342,+
DGKB,chr7,14974777,-
XPC,chr3,14178621,-
ADGRL1,chr19,14206187,-
LSM3,chr3,14178817,+
RBM11,chr21,14216130,+
CDRT15,chr17,14236862,-
RRAS2,chr11,14364506,-
HS3ST3B1,chr17,14301081,+
FLRT3,chr20,14337614,-
ATF7IP,chr12,14365676,+
HSPA13,chr21,14383484,-
ADGRE5,chr19,14380501,+
SLC6A6,chr3,14402576,+
DDX39A,chr19,14419383,-
PKN1,chr19,14433053,+
PARN,chr16,14632728,-
COPB1,chr11,14500027,-
PTGER1,chr19,14475354,-
GIPC1,chr19,14496149,-
SAMSN1,chr21,14658821,-
GRIP2,chr3,14556075,-
ENSG00000256206,chr11,14520344,-
PLBD1,chr12,14567883,-
PSMA1,chr11,14643635,-
POTEC,chr18,14543600,-
DNAJB1,chr19,14560391,-
TECR,chr19,14529579,+
FAM107B,chr10,14774897,-
NLGN4Y,chrY,14522573,+
GLRA2,chrX,14529536,+
NDUFB7,chr19,14572066,-
OTULINL,chr5,14581792,+
CLEC17A,chr19,14583084,+
ZDHHC21,chr9,14693432,-
ADGRE3,chr19,14690027,-
GUCY2C,chr12,14696599,-
LRATD1,chr2,14632700,+
BFAR,chr16,14632931,+
PDE3B,chr11,14643804,+
CCDC174,chr3,14651762,+
OTULIN,chr5,14664718,+
PLA2G10,chr16,14694308,-
C3orf20,chr3,14675141,+
ZNF333,chr19,14690048,+
FANCB,chrX,14873255,-
NPIPA3,chr16,14703411,+
ANKH,chr5,14871778,-
CER1,chr9,14722733,-
ANKRD30B,chr18,14728272,+
ADGRE2,chr19,14778560,-
FREM1,chr9,14910428,-
NPIPA2,chr16,14742533,+
H4C16,chr12,14771131,-
H2AJ,chr12,14774405,+
WBP11,chr12,14803486,-
OR7C1,chr19,14835376,-
C12orf60,chr12,14803666,+
SMCO3,chr12,14814182,-
FGD5,chr3,14810853,+
CDNF,chr10,14838575,-
ART4,chr12,14843526,-
OR7A5,chr19,14835185,-
NOMO1,chr16,14833721,+
MSANTD7,chr10,14838302,+
HSPA14,chr10,14838306,+
OR7A10,chr19,14848922,-
MOSPD2,chrX,14873421,+
CYP2R1,chr11,14892231,-
OR7A17,chr19,14886132,-
SUV39H2,chr10,14878848,+
MGP,chr12,14885857,-
DCLRE1C,chr10,14954432,-
CALCB,chr11,14904997,+
ERP27,chr12,14938537,-
NPIPA1,chr16,14922802,+
OR7C2,chr19,14941489,+
ARHGDIB,chr12,14961728,-
NR2C2,chr3,14947583,+
SLC1A6,chr19,15022990,-
MEIG1,chr10,14959388,+
NRIP1,chr21,15065936,-
CALCA,chr11,14972354,-
PDE6H,chr12,14973042,+
PDXDC1,chr16,14974591,+
CPEB2,chr4,15002481,+
MRPS25,chr3,15065317,-
TEKTL1,chr19,15010726,+
OLAH,chr10,15032227,+
NTAN1,chr16,15056079,-
CASP14,chr19,15049480,+
RRN3,chr16,15094311,-
RBSN,chr3,15099163,-
ACBD7,chr10,15088776,-
OR1I1,chr19,15082211,+
RPP38,chr10,15097180,+
NMT2,chr10,15168693,-
SYDE1,chr19,15107401,+
RERG,chr12,15348675,-
INSC,chr11,15112424,+
ILVBL,chr19,15125786,-
TMEM51,chr1,15152532,+
NOTCH3,chr19,15200995,-
TTC39B,chr9,15307360,-
NBAS,chr2,15561334,-
AGMO,chr7,15562015,-
CAPN7,chr3,15206246,+
FAM171A1,chr10,15371289,-
EPHX3,chr19,15233435,-
PMP22,chr17,15272292,-
ASB9,chrX,15270467,-
BRD4,chr19,15332545,-
FHAD1,chr1,15236521,+
JARID2,chr6,15246069,+
SH3BP5,chr3,15341368,-
ASB11,chrX,15315640,-
TEKT3,chr17,15341632,-
PIGA,chrX,15335554,-
PTPRO,chr12,15322257,+
C1QTNF7,chr4,15339818,+
VEGFD,chrX,15384413,-
AKAP8,chr19,15379787,-
NPIPA5,chr16,15381047,-
AKAP8L,chr19,15419141,-
METTL6,chr3,15440566,-
PIR,chrX,15493564,-
MPV17L,chr16,15395754,+
ENSG00000261130,chr16,15395754,+
EFHD2,chr1,15409888,+
TUSC3,chr8,15417215,+
WIZ,chr19,15449956,-
SNAPC3,chr9,15422734,+
EAF1,chr3,15427598,+
BMERB1,chr16,15434475,+
CDRT4,chr17,15475728,-
TVP23C-CDRT4,chr17,15563561,-
CTRC,chr1,15438442,+
ENSG00000293553,chr3,15451499,-
COLQ,chr3,15521751,-
RASAL3,chr19,15464544,-
CELA2A,chr1,15456728,+
PSIP1,chr9,15510995,-
BMX,chrX,15464246,+
CELA2B,chr1,15465909,+
PGLYRP2,chr19,15498956,-
CC2D2A,chr4,15469865,+
CASP9,chr1,15526534,-
ACE2,chrX,15607236,-
FBXL7,chr5,15500180,+
TVP23C,chr17,15563595,-
CYP4F22,chr19,15508525,+
ITGA8,chr10,15719922,-
DTNBP1,chr6,15663058,-
DNAJC16,chr1,15526813,+
OR11H1,chr22,15528192,+
CCDC171,chr9,15553043,+
HACL1,chr3,15601852,-
ENSG00000285602,chrX,15675608,-
FBXW10B,chr17,15619704,-
ENSG00000251537,chr17,15651653,-
AGMAT,chr1,15585051,-
DDX1,chr2,15591178,+
MARF1,chr16,15643154,-
BTD,chr3,15601341,+
FBXL5,chr4,15681679,-
MEOX2,chr7,15686683,-
CYP4F8,chr19,15615218,+
DDI2,chr1,15617458,+
EPS8,chr12,15882329,-
CLTRN,chrX,15675012,-
TRIM16,chr17,15684311,-
CYP4F3,chr19,15640897,+
NDE1,chr16,15643267,+
RSC1A1,chr1,15659713,+
ANKRD28,chr3,15859771,-
CYP4F12,chr19,15673087,+
PLEKHM2,chr1,15681461,+
FAM200B,chr4,15681662,+
CA5B,chrX,15688830,+
POTEH,chr22,15690026,+
ZNF286A-TBC1D26,chr17,15699741,+
ZNF286A,chr17,15699577,+
BST1,chr4,15703065,+
MYH11,chr16,15858438,-
OR10H2,chr19,15728024,+
USP25,chr21,15729982,+
TBC1D26,chr17,15732247,+
SLC25A34,chr1,15736258,+
OR10H3,chr19,15737985,+
TMEM82,chr1,15742499,+
FBLIM1,chr1,15756607,+
MINDY3,chr10,15860507,-
CD38,chr4,15778328,+
OR10H5,chr19,15787661,+
ZRSR2,chrX,15790472,+
OR10H1,chr19,15815664,-
UQCRHL,chr1,15809348,-
AP1S2,chrX,15854931,-
SPEN,chr1,15836095,+
CEP20,chr16,15888625,-
CYP4F2,chr19,15898074,-
STRAP,chr12,15882387,+
DERA,chr12,15911329,+
CYP4F11,chr19,15934867,-
FGFBP1,chr4,15938740,-
MYCN,chr2,15940550,+
ZBTB17,chr1,15976132,-
OR10H4,chr19,15944299,+
ADORA2B,chr17,15945130,+
ABCC1,chr16,15949577,+
FGFBP2,chr4,15969309,-
PROM1,chr4,16084378,-
SOX6,chr11,16739591,-
ZSWIM7,chr17,15999713,-
TTC19,chr17,15999824,+
SRARP,chr1,16004236,+
HSPB7,chr1,16019594,-
CLCNKA,chr1,16018875,+
NCOR1,chr17,16218185,-
CLCNKB,chr1,16040252,+
FAM131C,chr1,16073651,-
TPM4,chr19,16067021,+
MARCHF11,chr5,16180762,-
CRPPA,chr7,16502504,-
MSR1,chr8,16567490,-
RAB8A,chr19,16111889,+
GRPR,chrX,16123565,+
EPHA2,chr1,16156069,-
MYLIP,chr6,16129086,+
HSH2D,chr19,16134028,+
ABCC6,chr16,16223494,-
TAPT1,chr4,16227410,-
CIB3,chr19,16173525,-
MAGEB17,chrX,16167481,+
GALNT15,chr3,16174680,+
FAM32A,chr19,16185380,+
SLC15A5,chr12,16277685,-
ARHGEF19,chr1,16212652,-
AP1M1,chr19,16197854,+
PIGL,chr17,16217209,+
CPLANE2,chr1,16237183,-
NOMO3,chr16,16232528,+
GMPR,chr6,16238587,+
FBXO42,chr1,16352480,-
DPH3,chr3,16264969,-
OXNAD1,chr3,16265160,+
KIF16B,chr20,16573448,-
ATXN1,chr6,16761491,-
RFTN1,chr3,16514026,-
NPIPA6,chr16,16317444,+
KLF2,chr19,16324826,+
ENSG00000288708,chr6,16328431,-
CENPV,chr17,16353469,-
MGST1,chr12,16347142,+
SZRD1,chr1,16352575,+
EPS15L1,chr19,16472085,-
NPIPA7,chr16,16379140,+
UBB,chr17,16380798,+
SPATA21,chr1,16437424,-
BNC2,chr9,16870843,-
TRPV2,chr17,16415571,+
PTER,chr10,16436943,+
NECAP2,chr1,16440721,+
LRRC75A,chr17,16492193,-
ZNF622,chr5,16465800,-
SOSTDC1,chr7,16530580,-
RETREG1,chr5,16617101,-
CALR3,chr19,16496167,-
ENSG00000141979,chr19,16628204,-
C19orf44,chr19,16496394,+
LDB2,chr4,16898678,-
C1QL3,chr10,16521879,-
CHERP,chr19,16542437,-
LRRC72,chr7,16526825,+
ZNF287,chr17,16569204,-
LMO3,chr12,16610594,-
CYRIA,chr2,16666331,-
SLC35E1,chr19,16572415,-
NBPF1,chr1,16613562,-
MED26,chr19,16629062,-
ENSG00000268790,chr19,16660104,-
DAZL,chr3,16670306,-
CTPS2,chrX,16712936,-
RSU1,chr10,16817463,-
CCT8L2,chr22,16592810,-
ANKMY2,chr7,16645817,-
C11orf58,chr11,16613132,+
ZNF624,chr17,16653856,-
SMIM7,chr19,16660144,-
BZW2,chr7,16646131,+
S100G,chrX,16650158,+
TMEM38A,chr19,16661139,+
MYO10,chr5,16936288,-
CCDC144A,chr17,16689537,+
ENSG00000266302,chr17,16690261,+
SYAP1,chrX,16719612,+
NWD1,chr19,16719847,+
SNRPB2,chr20,16729961,+
CROCC,chr1,16740273,+
OTOR,chr20,16748358,+
TSPAN13,chr7,16753755,+
PLEKHA7,chr11,17014415,-
XKR3,chr22,16825411,-
TXLNG,chrX,16786432,+
AGR2,chr7,16833433,-
PLCL2,chr3,16802651,+
CUBN,chr10,17129811,-
SIN3B,chr19,16829398,+
RBBP7,chrX,16870362,-
AGR3,chr7,16881987,-
F2RL3,chr19,16888999,+
CPAMD8,chr19,17026810,-
AHR,chr7,16916359,+
TNFRSF13B,chr17,16972118,-
REPS2,chrX,16946658,+
GAB4,chr22,17008222,-
MFAP2,chr1,16980632,-
ATP13A2,chr1,17011928,-
FGF20,chr8,17002345,-
ENSG00000288636,chr1,17011757,-
SDHB,chr1,17054151,-
MICU3,chr8,17027238,+
MPRIP,chr17,17042457,+
HAUS8,chr19,17075625,-
BASP1,chr5,17065598,+
PADI2,chr1,17119451,-
RPS13,chr11,17077706,-
MYO9B,chr19,17075777,+
PIK3C2A,chr11,17207986,-
IL17RA,chr22,17084994,+
XYLT1,chr16,17470960,-
STMND1,chr6,17102050,+
TMEM121B,chr22,17121367,-
CNTLN,chr9,17134982,+
TRDMT1,chr10,17202054,-
HDHD5,chr22,17165287,-
ZDHHC2,chr8,17156482,+
TBC1D5,chr3,18444817,-
ADA2,chr22,17258235,-
PLD6,chr17,17206333,-
ENSG00000264187,chr17,17237185,-
PADI1,chr1,17205128,+
NUCB2,chr11,17208153,+
FLCN,chr17,17237182,-
USE1,chr19,17215357,+
CNOT7,chr8,17246878,-
PCSK2,chr20,17226107,+
OCEL1,chr19,17226213,+
VIM,chr10,17228241,+
NR2F6,chr19,17245919,-
ENSG00000269095,chr19,17255448,-
COPS3,chr17,17281246,-
VPS37A,chr8,17246938,+
PADI3,chr1,17249098,+
USHBP1,chr19,17282786,-
BABAM1,chr19,17267376,+
ENSG00000269307,chr19,17267418,+
RBM24,chr6,17281361,+
ANKLE1,chr19,17281645,+
ABHD8,chr19,17310236,-
MRPL34,chr19,17292609,+
MTMR7,chr8,17413351,-
ENSG00000283321,chr7,17299295,+
NT5M,chr17,17303335,+
PADI4,chr1,17308195,+
DDA1,chr19,17309563,+
ST8SIA6,chr10,17454595,-
ANO8,chr19,17334855,-
GTPBP3,chr19,17334920,+
PLVAP,chr19,17377342,-
NCR3LG1,chr11,17351800,+
CECR2,chr22,17359949,+
KCNJ11,chr11,17389331,-
PADI6,chr1,17372196,+
NHS,chrX,17375200,+
CCDC194,chr19,17394196,-
ABCC8,chr11,17476872,-
CAP2,chr6,17393595,+
BST2,chr19,17405630,-
MVB12A,chr19,17405722,+
RCC2,chr1,17439677,-
TMEM221,chr19,17448668,-
ENSG00000269035,chr19,17460804,-
LINC02218,chr5,17444010,+
NXNL1,chr19,17460926,-
QDPR,chr4,17512090,-
SLC27A1,chr19,17470489,+
MED9,chr17,17476994,+
H3Y2,chr5,17492076,-
USH1C,chr11,17544416,-
BFSP1,chr20,17569220,-
RASD1,chr17,17496395,-
SLC7A2,chr8,17497088,+
TAF11L2,chr5,17498231,+
PEMT,chr17,17591708,-
RAD51AP2,chr2,17518440,-
PGLS,chr19,17511649,+
CXADR,chr21,17513043,+
CLRN2,chr4,17515165,+
TAF11L3,chr5,17518367,+
TAF11L4,chr5,17521801,+
NIBAN3,chr19,17523301,+
TAF11L5,chr5,17525235,+
TAF11L6,chr5,17528669,+
VSNL1,chr2,17539126,+
ARHGEF10L,chr1,17539698,+
OTOG,chr11,17547259,+
COLGALT1,chr19,17555649,+
SLC25A18,chr22,17563450,+
DSTN,chr20,17570075,+
PDGFRL,chr8,17576433,+
LAP3,chr4,17577198,+
SH3GL2,chr9,17579066,+
TAF11L7,chr5,17585758,-
HACD1,chr10,17617374,-
TAF11L8,chr5,17590960,-
ATP6V1E1,chr22,17628749,-
BTG3,chr21,17612945,-
TAF11L9,chr5,17594394,-
TAF11L10,chr5,17597828,-
FAM8A1,chr6,17600302,+
UNC13A,chr19,17688365,-
TAF11L11,chr5,17604177,+
TAF11L12,chr5,17610392,+
RRBP1,chr20,17682295,-
MED28,chr4,17614641,+
NUP153,chr6,17706925,-
BCL2L13,chr22,17628855,+
FAM184B,chr4,17781621,-
TAF11L13,chr5,17632088,+
TAF11L14,chr5,17634460,+
MTUS1,chr8,17801094,-
STAM,chr10,17644151,+
H3Y1,chr5,17655849,-
SMC6,chr2,17800242,-
RAI1,chr17,17681458,+
BANF2,chr20,17693672,+
MAP1S,chr19,17719242,+
MYOD1,chr11,17719571,+
BID,chr22,17774770,-
KCNC1,chr11,17734774,+
SCML1,chrX,17737449,+
FCHO1,chr19,17747718,+
TMEM236,chr10,17752201,+
GEN1,chr2,17753858,+
ACTL8,chr1,17755333,+
KIF13A,chr6,17987635,-
MICAL3,chr22,18024561,-
SERGEF,chr11,18013047,-
C21orf91,chr21,17819386,-
SNX13,chr7,17940494,-
DCAF16,chr4,17810758,-
B3GNT3,chr19,17794828,+
RAI2,chrX,17861337,-
MRC1,chr10,17809348,+
SREBF1,chr17,17837002,-
NCAPG,chr4,17810979,+
MSGN1,chr2,17816460,+
INSL3,chr19,17821574,-
JAK3,chr19,17848017,-
LCORL,chr4,18021876,-
TOM1L2,chr17,17972422,-
RPL18A,chr19,17859910,+
FGL1,chr8,17910365,-
SLC5A5,chr19,17871945,+
KCNS3,chr2,17877847,+
CDY2B,chrY,17880220,-
CHODL,chr21,17901263,+
ADAMTSL1,chr9,17906563,+
PCM1,chr8,17922842,+
CCDC124,chr19,17933015,+
SNX5,chr20,17968980,-
KCNN1,chr19,17951293,+
SLC39A12,chr10,17951839,+
OVOL2,chr20,18059188,-
MGME1,chr20,17969018,+
DRC3,chr17,17972813,+
ATPAF2,chr17,18039209,-
ARRDC2,chr19,18001132,+
TPH1,chr11,18046269,-
CDY2A,chrY,18025787,+
PRPS1L1,chr7,18027846,-
GID4,chr17,18039408,+
ASAH1,chr8,18084998,-
IL12RB1,chr19,18098944,-
SAAL1,chr11,18106087,-
PEX26,chr22,18077923,+
ENSG00000288683,chr22,18077989,+
RERGL,chr12,18320107,-
HDAC9,chr7,18086949,+
DRG2,chr17,18087925,+
MAST3,chr19,18097778,+
IGSF21,chr1,18107798,+
MYO15A,chr17,18108756,+
TUBA8,chr22,18110100,+
NHLRC1,chr6,18122677,-
MRGPRX3,chr11,18120955,+
TPMT,chr6,18155077,-
KAT14,chr20,18137228,+
PET117,chr20,18137863,+
CACNB2,chr10,18140424,+
USP18,chr22,18149843,+
ENSG00000268173,chr19,18153158,+
PIK3R2,chr19,18153163,+
KDM1B,chr6,18155329,+
